granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,149888,35702,21.5044260484068,5.12216467482533,697010,Oslo,2021-04-22
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,91707,22059,19.0009220027142,4.57043997140756,482645,Rogaland,2021-04-22
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,54919,14161,20.6816949356792,5.33282619829482,265544,Møre og Romsdal,2021-04-22
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,53477,16359,22.2500988162849,6.80646570554827,240345,Nordland,2021-04-22
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,275008,72455,21.9587602524465,5.78536614967933,1252384,Viken,2021-04-22
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,84918,25131,22.9134680507173,6.78111078431637,370603,Innlandet,2021-04-22
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,93169,26980,22.0841372706112,6.39515314708852,421882,Vestfold og Telemark,2021-04-22
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,63073,15088,20.4223505146628,4.88533008680786,308843,Agder,2021-04-22
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,130907,35465,20.4919687987715,5.55163339965342,638821,Vestland,2021-04-22
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,95098,27726,20.1853439858721,5.88507484229205,471124,Trøndelag,2021-04-22
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,49732,13134,20.5361567176506,5.4235076475835,242168,Troms og Finnmark,2021-04-22
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,149043,35324,21.3831939283511,5.06793302822054,697010,Oslo,2021-04-22
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2992,720,20.2339893149388,4.86914181375533,14787,Eigersund,2021-04-22
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,27821,6210,19.3004363601046,4.30810214572624,144147,Stavanger,2021-04-22
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6328,2235,16.9546928167618,5.98826460895426,37323,Haugesund,2021-04-22
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,14835,3234,18.4400248601616,4.01988812927284,80450,Sandnes,2021-04-22
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,842,188,25.8520110531164,5.77218299048204,3257,Sokndal,2021-04-22
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,791,167,24.9212350346566,5.26149968494014,3174,Lund,2021-04-22
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,706,134,25.2955929774274,4.8011465424579,2791,Bjerkreim,2021-04-22
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3500,714,18.3054393305439,3.73430962343096,19120,Hå,2021-04-22
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3430,685,17.2813381700927,3.45122934300685,19848,Klepp,2021-04-22
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3327,805,17.4133779964409,4.21333612477756,19106,Time,2021-04-22
total,municip,municip1122,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2306,450,19.1147214854111,3.73010610079576,12064,Gjesdal,2021-04-22
