granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9045,933,,,65.6005221932115,6.76675369886858,,,13788,Oslo,2022-08-02
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5693,4555,,,87.0888786905308,69.6802814746826,,,6537,Oslo,2022-08-02
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,29836,28062,13379,17,95,89.6807388706018,42.7567032053945,0.0543287207184174,31291,Oslo,2022-08-02
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93351,89315,55108,187,89.9491241255709,86.0602031180744,53.0997668189089,0.180185388603033,103782,Oslo,2022-08-02
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21929,21145,14116,77,91.0181380483958,87.7640808533599,58.589631843274,0.319594903083883,24093,Oslo,2022-08-02
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40078,39204,31041,231,93.6030081509681,91.561762851204,72.4969054347572,0.539505336665343,42817,Oslo,2022-08-02
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32517,32066,28659,387,94.7658321918806,93.451461545187,83.5222801853525,1.12785241745111,34313,Oslo,2022-08-02
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24780,24550,22746,568,95,95,88.1593736676873,2.20146505949382,25801,Oslo,2022-08-02
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10021,9935,9297,1669,95,95,90.5698977106673,16.2591329761325,10265,Oslo,2022-08-02
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5939,5891,5443,2275,95,95,89.9520740373492,37.5970913898529,6051,Oslo,2022-08-02
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7934,7806,6713,2719,95,95,88.7258789320645,35.9370869680148,7566,Oslo,2022-08-02
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9311,922,,,65.0073308664386,6.4371989108427,,,14323,Oslo,2022-08-02
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5430,4153,,,81.8510702441966,62.6017485679831,,,6634,Oslo,2022-08-02
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,25713,23482,9240,13,90.3891447252786,82.5464899637923,32.4814567441207,0.0456990192287412,28447,Oslo,2022-08-02
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90574,86251,50034,136,86.7201562559841,82.5810960897706,47.9050974684999,0.130213320056681,104444,Oslo,2022-08-02
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22607,21827,14776,80,85.9549066575415,82.9892399528535,56.1803733698338,0.304170944070568,26301,Oslo,2022-08-02
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41577,40603,32157,208,89.7022653721683,87.6008629989213,69.378640776699,0.448759439050701,46350,Oslo,2022-08-02
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32882,32381,28542,315,92.9999717170574,91.5829962949345,80.7251746471703,0.890912690556326,35357,Oslo,2022-08-02
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22884,22691,20883,481,95,94.9056840520306,87.3436781128446,2.01179472165293,23909,Oslo,2022-08-02
total,county,county03,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,8756,8694,8124,1322,95,95,91.6206157663246,14.9092139393256,8867,Oslo,2022-08-02
total,county,county03,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4444,4404,4082,1828,95,95,92.1860885275519,41.2827461607949,4428,Oslo,2022-08-02
total,county,county03,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3876,3823,3252,1443,95,95,89.6361631753032,39.773980154355,3628,Oslo,2022-08-02
total,county,county11,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9423,873,,,73.462228112575,6.8059561861698,,,12827,Rogaland,2022-08-02
total,county,county11,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5363,5180,,,90.3622577927548,87.2788542544229,,,5935,Rogaland,2022-08-02
total,county,county11,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,18632,17901,9933,18,92.6043737574553,88.9711729622267,49.368787276342,0.0894632206759443,20120,Rogaland,2022-08-02
total,county,county11,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,42868,41307,24101,107,87.844262295082,84.6454918032787,49.3872950819672,0.219262295081967,48800,Rogaland,2022-08-02
total,county,county11,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,14748,14374,10449,113,90.734588409007,88.4336163405931,64.2857142857143,0.69521348591116,16254,Rogaland,2022-08-02
total,county,county11,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,29582,29179,24628,308,93.1687190954616,91.8994677332997,77.5660609114674,0.970048187458663,31751,Rogaland,2022-08-02
total,county,county11,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,25921,25726,24113,432,95,94.494031221304,88.5693296602388,1.58677685950413,27225,Rogaland,2022-08-02
total,county,county11,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,20806,20669,19854,584,95,95,92.7150462314374,2.72718782105165,21414,Rogaland,2022-08-02
total,county,county11,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,7921,7875,7403,1660,95,95,92.2492211838006,20.6853582554517,8025,Rogaland,2022-08-02
total,county,county11,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5066,5012,4613,1402,95,95,90.9144659046117,27.6310603074497,5074,Rogaland,2022-08-02
total,county,county11,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,6097,5995,5167,1589,95,95,90.0959023539669,27.7070619006103,5735,Rogaland,2022-08-02
