granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,8954,828,,,64.9405279953583,6.00522193211488,,,13788,Oslo,2022-06-21
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5672,4474,,,86.7676304115038,68.4411809698639,,,6537,Oslo,2022-06-21
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,29627,27795,13069,13,94.6821769837973,88.8274583746125,41.7660030040587,0.0415454923140839,31291,Oslo,2022-06-21
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93642,89536,54453,171,90.2295195698676,86.2731494864235,52.4686361796843,0.164768456957854,103782,Oslo,2022-06-21
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21952,21145,13988,72,91.1136014610053,87.7640808533599,58.0583571991865,0.298841987299216,24093,Oslo,2022-06-21
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40069,39178,30851,207,93.5819884625266,91.5010393068174,72.0531564565476,0.483452834154658,42817,Oslo,2022-06-21
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32542,32088,28584,333,94.8386908751785,93.5155771864891,83.3037041354589,0.970477661527701,34313,Oslo,2022-06-21
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24794,24565,22706,394,95,95,88.0043409170187,1.5270725940855,25801,Oslo,2022-06-21
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10029,9942,9264,162,95,95,90.2484169508037,1.57817827569411,10265,Oslo,2022-06-21
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5938,5889,5417,424,95,95,89.5223929928937,7.00710626342753,6051,Oslo,2022-06-21
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7933,7804,6651,552,95,95,87.9064234734338,7.29579698651864,7566,Oslo,2022-06-21
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9235,808,,,64.4767157718355,5.64127626893807,,,14323,Oslo,2022-06-21
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5405,4078,,,81.474223696111,61.4712089237263,,,6634,Oslo,2022-06-21
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,25526,23245,9029,13,89.731781910219,81.7133616901607,31.7397265089465,0.0456990192287412,28447,Oslo,2022-06-21
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90785,86382,49629,128,86.9221783922485,82.7065221554135,47.5173298609781,0.122553712994523,104444,Oslo,2022-06-21
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22670,21872,14679,71,86.1944412759971,83.1603361088932,55.8115661001483,0.269951712862629,26301,Oslo,2022-06-21
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41593,40599,31947,182,89.7367853290183,87.5922330097087,68.9255663430421,0.392664509169364,46350,Oslo,2022-06-21
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32909,32398,28450,266,93.0763356619623,91.631077297282,80.4649715756427,0.752326272025342,35357,Oslo,2022-06-21
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22908,22711,20848,326,95,94.9893345602075,87.1972897235351,1.36350328328245,23909,Oslo,2022-06-21
total,county,county03,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,8755,8693,8099,163,95,95,91.3386714785159,1.83827675651291,8867,Oslo,2022-06-21
total,county,county03,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4439,4403,4065,329,95,95,91.8021680216802,7.42999096657633,4428,Oslo,2022-06-21
total,county,county03,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3875,3820,3224,288,95,95,88.864388092613,7.93825799338479,3628,Oslo,2022-06-21
total,county,county11,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9401,810,,,73.2907148982615,6.31480470881734,,,12827,Rogaland,2022-06-21
total,county,county11,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5360,5138,,,90.3117101937658,86.5711878685762,,,5935,Rogaland,2022-06-21
total,county,county11,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,18586,17837,9785,17,92.375745526839,88.6530815109344,48.6332007952286,0.084493041749503,20120,Rogaland,2022-06-21
