granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9021,901,,,65.4264577893821,6.53466782709603,,,13788,Oslo,2022-07-07
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5691,4542,,,87.0582836163378,69.4814134924277,,,6537,Oslo,2022-07-07
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,29705,27899,13219,16,94.9314499376818,89.1598223131252,42.2453740692212,0.0511329136173341,31291,Oslo,2022-07-07
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93533,89472,54866,178,90.1244917230348,86.2114817598427,52.8665857277755,0.17151336455262,103782,Oslo,2022-07-07
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21953,21162,14083,74,91.1177520441622,87.8346407670278,58.4526625990952,0.307143153613083,24093,Oslo,2022-07-07
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40074,39189,30978,219,93.5936660672163,91.5267300371348,72.3497676156667,0.511479085410001,42817,Oslo,2022-07-07
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32539,32087,28628,341,94.8299478331828,93.5126628391572,83.4319354180631,0.993792440183021,34313,Oslo,2022-07-07
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24792,24565,22724,415,95,95,88.0741056548196,1.6084647881865,25801,Oslo,2022-07-07
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10024,9939,9262,356,95,95,90.2289332683877,3.46809547004384,10265,Oslo,2022-07-07
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5938,5889,5423,672,95,95,89.6215501569988,11.1056023797719,6051,Oslo,2022-07-07
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7936,7804,6670,854,95,95,88.1575469204335,11.2873380914618,7566,Oslo,2022-07-07
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9291,889,,,64.8676953152273,6.20680025134399,,,14323,Oslo,2022-07-07
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5421,4134,,,81.7154054868857,62.315345191438,,,6634,Oslo,2022-07-07
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,25590,23348,9133,13,89.9567616971913,82.0754385348191,32.1053186627764,0.0456990192287412,28447,Oslo,2022-07-07
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90706,86358,49877,131,86.8465397725097,82.683543334227,47.754777679905,0.125426065642833,104444,Oslo,2022-07-07
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22646,21860,14756,74,86.1031899927759,83.1147104672826,56.1043306338162,0.281358123265275,26301,Oslo,2022-07-07
