granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,8970,856,,,65.0565709312446,6.20829706991587,,,13788,Oslo,2022-06-24
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5682,4500,,,86.920605782469,68.8389169343736,,,6537,Oslo,2022-06-24
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,29673,27854,13122,14,94.8291841104471,89.0160109935764,41.9353807804161,0.0447412994151673,31291,Oslo,2022-06-24
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93589,89505,54568,172,90.178450983793,86.2432791813609,52.5794453758841,0.165732015185678,103782,Oslo,2022-06-24
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21955,21154,14017,74,91.1260532104761,87.8014361017723,58.1787241107376,0.307143153613083,24093,Oslo,2022-06-24
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40069,39179,30897,214,93.5819884625266,91.5033748277553,72.1605904196931,0.499801480720275,42817,Oslo,2022-06-24
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32535,32082,28592,335,94.8182904438551,93.4980911024976,83.3270189141142,0.976306356191531,34313,Oslo,2022-06-24
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24792,24565,22708,397,95,95,88.0120925545521,1.53870005038564,25801,Oslo,2022-06-24
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10026,9939,9261,165,95,95,90.2191914271797,1.60740379931807,10265,Oslo,2022-06-24
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5938,5889,5418,465,95,95,89.5389191869113,7.68468021814576,6051,Oslo,2022-06-24
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7932,7803,6655,618,95,95,87.959291567539,8.16812053925456,7566,Oslo,2022-06-24
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9258,831,,,64.6372966557286,5.80185715283111,,,14323,Oslo,2022-06-24
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5413,4098,,,81.5948145914984,61.7726861621948,,,6634,Oslo,2022-06-24
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,25577,23306,9063,13,89.9110626779625,81.9277955496186,31.8592470207755,0.0456990192287412,28447,Oslo,2022-06-24
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90758,86370,49699,130,86.8963272184137,82.6950327448202,47.584351422772,0.124468614760063,104444,Oslo,2022-06-24
