granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9048,961,,,65.6222802436902,6.96982883666957,,,13788,Oslo,2022-10-11
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5712,4581,,,87.3795318953649,70.0780174391923,,,6537,Oslo,2022-10-11
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,31171,29378,14150,31,95,93.8864210156275,45.2206704803298,0.0990700201335848,31291,Oslo,2022-10-11
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,92926,88951,55478,329,89.5396118787458,85.7094679231466,53.4562833632036,0.317010656954,103782,Oslo,2022-10-11
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21814,21040,14119,135,90.5408209853485,87.3282696218819,58.6020835927448,0.560328726186029,24093,Oslo,2022-10-11
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40027,39156,31101,386,93.4838965831329,91.4496578461826,72.6370366910339,0.901511082046851,42817,Oslo,2022-10-11
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32451,32005,28698,735,94.5734852679742,93.2736863579401,83.6359397312972,2.14204528895754,34313,Oslo,2022-10-11
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24764,24542,22947,12055,95,95,88.9384132397969,46.7229952327429,25801,Oslo,2022-10-11
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10019,9936,9370,7043,95,95,91.2810521188505,68.6117876278617,10265,Oslo,2022-10-11
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5932,5884,5478,4170,95,95,90.5304908279623,68.9142290530491,6051,Oslo,2022-10-11
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7930,7808,6776,4753,95,95,89.5585514142215,62.8205128205128,7566,Oslo,2022-10-11
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9343,948,,,65.2307477483767,6.61872512741744,,,14323,Oslo,2022-10-11
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5444,4175,,,82.0621043111245,62.9333735302985,,,6634,Oslo,2022-10-11
