granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8977,245,,66.4864464523774,1.81454599318619,,13502,Oslo,2022-01-04
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,6019,4221,,94.6383647798742,66.3679245283019,,6360,Oslo,2022-01-04
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,30300,26723,2582,96.9103818844751,85.4698394422056,8.25817181603019,31266,Oslo,2022-01-04
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,91987,85368,10843,88.7691194209891,82.3816646562123,10.4636911942099,103625,Oslo,2022-01-04
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21943,20487,3643,91.6468278828885,85.5657185816314,15.2153030113185,23943,Oslo,2022-01-04
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,39863,38208,14752,93.7115050072876,89.8208660491796,34.6795806102779,42538,Oslo,2022-01-04
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32320,31781,21224,95.2044303051726,93.6167079062095,62.5191469305998,33948,Oslo,2022-01-04
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24755,24450,21458,95.2188629894607,94.0456958227556,82.5371182398646,25998,Oslo,2022-01-04
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,14874,14927,14007,97.0570962479609,97.4029363784665,91.3996737357259,15325,Oslo,2022-01-04
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7076,6994,6161,91.527616091062,90.4669512352865,79.6921484930798,7731,Oslo,2022-01-04
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9223,236,,66.26194410518,1.69552410374309,,13919,Oslo,2022-01-04
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5883,4015,,89.4480766306827,61.0460696366124,,6577,Oslo,2022-01-04
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,25350,21766,1038,90.1173124777817,77.3764664059723,3.69001066477071,28130,Oslo,2022-01-04
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90166,82985,6040,86.3675549340026,79.489070671852,5.78555144734574,104398,Oslo,2022-01-04
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22755,21163,2778,85.9327794561934,79.9206948640483,10.4909365558912,26480,Oslo,2022-01-04
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41508,39724,14123,90.007806401249,86.1393008933993,30.6249457888802,46116,Oslo,2022-01-04
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32439,31724,20579,93.567740632842,91.5053794456142,59.3585047160287,34669,Oslo,2022-01-04
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22794,22549,19600,94.2913874410524,93.2779018780508,81.0788450401258,24174,Oslo,2022-01-04
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,12019,12155,11621,98.2185176105255,99.3299011195555,94.9660864590995,12237,Oslo,2022-01-04
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3328,3293,3014,91.882937603534,90.9166206515737,83.2136940916621,3622,Oslo,2022-01-04
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9638,324,,77.0177401310532,2.5891002077673,,12514,Rogaland,2022-01-04
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5701,5163,,95.8151260504202,86.7731092436975,,5950,Rogaland,2022-01-04
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18441,17332,2402,91.3372956909361,85.8444774640911,11.8969787023279,20190,Rogaland,2022-01-04
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42247,39718,6603,86.2447688067776,81.0819638664897,13.4796366234562,48985,Rogaland,2022-01-04
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14682,14140,3397,92.3338154833029,88.9252248286271,21.3634362618703,15901,Rogaland,2022-01-04
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29576,28788,10401,93.1087675114119,90.6280497402802,32.7435857075397,31765,Rogaland,2022-01-04
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,25839,25635,13992,96.7281847789466,95.964511660989,52.3789915022648,26713,Rogaland,2022-01-04
