granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8615,447,,63.8053621685676,3.31062064879277,,13502,Oslo,2022-02-25
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5475,4151,,86.0849056603774,65.2672955974843,,6360,Oslo,2022-02-25
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,29034,26879,11936,92.8612550374208,85.9687839826009,38.1756540651187,31266,Oslo,2022-02-25
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93667,88952,50563,90.3903498190591,85.8402895054282,48.7942098914355,103625,Oslo,2022-02-25
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,22005,21094,13177,91.905776218519,88.1009063191747,55.0348744935889,23943,Oslo,2022-02-25
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40104,39041,29729,94.2780572664441,91.7791151441065,69.8881000517185,42538,Oslo,2022-02-25
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32591,32075,27815,95,94.4827383056439,81.9341345587369,33948,Oslo,2022-02-25
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24840,24564,22410,95,94.4841910916224,86.1989383798754,25998,Oslo,2022-02-25
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,16000,15853,14557,95,95,94.9885807504078,15325,Oslo,2022-02-25
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7928,7789,6574,95,95,85.0342775837537,7731,Oslo,2022-02-25
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8893,407,,63.891084129607,2.92406063653998,,13919,Oslo,2022-02-25
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5254,3791,,79.8844457959556,57.6402615174092,,6577,Oslo,2022-02-25
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,25029,22478,8178,88.9761820120867,79.9075719872023,29.0721649484536,28130,Oslo,2022-02-25
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90795,85829,46435,86.9700568976417,82.2132607904366,44.4788214333608,104398,Oslo,2022-02-25
