granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8578,407,,63.5313286920456,3.01436824174196,,13502,Oslo,2022-02-10
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5439,4101,,85.5188679245283,64.4811320754717,,6360,Oslo,2022-02-10
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,28939,26705,11566,92.5574106057699,85.4122689183138,36.992259962899,31266,Oslo,2022-02-10
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93569,88676,48175,90.2957780458384,85.5739445114596,46.4897466827503,103625,Oslo,2022-02-10
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21989,21055,12836,91.8389508415821,87.938019462891,53.6106586476214,23943,Oslo,2022-02-10
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40116,38980,29316,94.3062673374395,91.6357139498801,68.9172034416287,42538,Oslo,2022-02-10
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32633,32083,27590,95,94.5063037586898,81.2713561918228,33948,Oslo,2022-02-10
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24848,24554,22303,95,94.4457265943534,85.7873682590969,25998,Oslo,2022-02-10
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,15999,15846,14488,95,95,94.5383360522023,15325,Oslo,2022-02-10
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7926,7778,6528,95,95,84.4392704695382,7731,Oslo,2022-02-10
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8846,350,,63.5534161936921,2.51454845894102,,13919,Oslo,2022-02-10
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5224,3743,,79.4283107799909,56.9104454918656,,6577,Oslo,2022-02-10
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,24921,22311,7808,88.5922502666193,79.3138997511554,27.7568432278706,28130,Oslo,2022-02-10
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90769,85610,44360,86.945152205981,82.0034866568325,42.4912354642809,104398,Oslo,2022-02-10
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22733,21794,13503,85.8496978851964,82.3036253776435,50.9932024169184,26480,Oslo,2022-02-10
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41706,40455,30258,90.4371584699454,87.7244340359095,65.6128024980484,46116,Oslo,2022-02-10
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32968,32336,27262,95,93.2706452450316,78.6350918688165,34669,Oslo,2022-02-10
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22965,22721,20321,94.9987589972698,93.9894101100356,84.0613882683875,24174,Oslo,2022-02-10
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,13208,13093,11972,95,95,95,12237,Oslo,2022-02-10
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3872,3807,3171,95,95,87.548315847598,3622,Oslo,2022-02-10
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9265,486,,74.0370784721112,3.88365031165095,,12514,Rogaland,2022-02-10
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5316,4928,,89.3445378151261,82.8235294117647,,5950,Rogaland,2022-02-10
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18556,17676,8941,91.9068845963348,87.5482912332838,44.284299157999,20190,Rogaland,2022-02-10
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42667,40811,21018,87.1021741349393,83.3132591609676,42.9070123507196,48985,Rogaland,2022-02-10
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14732,14317,9661,92.6482611156531,90.0383623671467,60.7571850826992,15901,Rogaland,2022-02-10
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29590,29105,23449,93.1528411773965,91.6260034629309,73.8202424051629,31765,Rogaland,2022-02-10
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,25948,25710,23488,95,95,87.9272264440535,26713,Rogaland,2022-02-10
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,20783,20625,19566,95,95,93.0650684931507,21024,Rogaland,2022-02-10
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,12975,12855,11798,95,95,94.8239832824305,12442,Rogaland,2022-02-10
total,county,county11,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,6093,5975,5015,95,95,87.7822510064765,5713,Rogaland,2022-02-10
total,county,county11,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9293,412,,71.3036139031689,3.16120616895573,,13033,Rogaland,2022-02-10
total,county,county11,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5485,4900,,88.3537371134021,78.930412371134,,6208,Rogaland,2022-02-10
total,county,county11,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,19015,17716,6412,86.9575158915261,81.0170576668039,29.3227237389674,21867,Rogaland,2022-02-10
total,county,county11,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,43226,40979,18644,83.984534379918,79.6187996658183,36.223746332744,51469,Rogaland,2022-02-10
total,county,county11,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,14987,14474,8815,85.0229761161854,82.1126680660351,50.0085096726613,17627,Rogaland,2022-02-10
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,30683,30098,23165,90.400989953154,88.677410801096,68.2507881323473,33941,Rogaland,2022-02-10
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,26784,26464,23882,95,94.1009138427622,84.9198165202859,28123,Rogaland,2022-02-10
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,20991,20830,19770,95,95,93.1975675293452,21213,Rogaland,2022-02-10
total,county,county11,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,11467,11371,10527,95,95,95,10655,Rogaland,2022-02-10
total,county,county11,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3556,3497,2970,95,95,93.8388625592417,3165,Rogaland,2022-02-10
total,county,county15,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,5278,608,,82.2246455834242,9.47188035519551,,6419,Møre og Romsdal,2022-02-10
total,county,county15,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,3021,3032,,93.9950217797138,94.3372744243933,,3214,Møre og Romsdal,2022-02-10
total,county,county15,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,10144,9849,5275,93.2095929431223,90.4989433060737,48.4700909675641,10883,Møre og Romsdal,2022-02-10
total,county,county15,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,20706,20039,11335,89.3385684083359,86.4607153643699,48.9062432584027,23177,Møre og Romsdal,2022-02-10
total,county,county15,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,7218,7086,5080,92.5740669488265,90.8811081185071,65.1532640759266,7797,Møre og Romsdal,2022-02-10
total,county,county15,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,16105,15897,13360,93.677291763611,92.4674267100977,77.7105630525826,17192,Møre og Romsdal,2022-02-10
total,county,county15,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,15353,15227,14072,95,94.6952736318408,87.5124378109453,16080,Møre og Romsdal,2022-02-10
total,county,county15,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,14582,14499,14121,95,95,95,14739,Møre og Romsdal,2022-02-10
total,county,county15,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,9247,9160,8502,95,95,95,8797,Møre og Romsdal,2022-02-10
total,county,county15,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,4819,4716,3993,95,95,87.0124210067553,4589,Møre og Romsdal,2022-02-10
total,county,county15,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,5531,594,,83.260575041397,8.94174318831853,,6643,Møre og Romsdal,2022-02-10
total,county,county15,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,3052,2973,,87.8779153469623,85.6032248776274,,3473,Møre og Romsdal,2022-02-10
total,county,county15,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,10898,10406,4142,90.1779064956558,86.1067438973935,34.2738932561026,12085,Møre og Romsdal,2022-02-10
total,county,county15,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,21835,20966,10139,85.4164221726714,82.0169776630286,39.6627938817823,25563,Møre og Romsdal,2022-02-10
total,county,county15,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,7091,6921,4374,84.4669446098868,82.4419297200715,52.1024419297201,8395,Møre og Romsdal,2022-02-10
total,county,county15,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,16632,16314,12778,89.0507040745302,87.3480751726723,68.4156984526423,18677,Møre og Romsdal,2022-02-10
total,county,county15,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,16098,15976,14512,94.3887423043096,93.6734095573146,85.0894165933744,17055,Møre og Romsdal,2022-02-10
total,county,county15,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,14826,14744,14357,95,95,94.9851141250413,15115,Møre og Romsdal,2022-02-10
total,county,county15,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,8559,8490,7950,95,95,95,7874,Møre og Romsdal,2022-02-10
total,county,county15,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,2789,2745,2346,95,95,92.0722135007849,2548,Møre og Romsdal,2022-02-10
total,county,county18,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,4368,331,,81.4773363178511,6.17422122738295,,5361,Nordland,2022-02-10
total,county,county18,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,2500,2404,,94.1974378296911,90.5802562170309,,2654,Nordland,2022-02-10
total,county,county18,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,8711,8396,3640,89.6931630971993,86.4497528830313,37.4794069192751,9712,Nordland,2022-02-10
total,county,county18,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,19130,18362,9373,90.7237029308546,87.0814758607607,44.4512946979038,21086,Nordland,2022-02-10
total,county,county18,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,6072,5920,3840,92.448233861145,90.1339829476249,58.4652862362972,6568,Nordland,2022-02-10
