granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9055,968,,,65.6730490281404,7.02059762111982,,,13788,Oslo,2022-11-14
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5725,4591,,,87.5783998776197,70.2309928101576,,,6537,Oslo,2022-11-14
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,31426,29627,14297,41,95,94.6821769837973,45.6904541241891,0.131028091144419,31291,Oslo,2022-11-14
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,92720,88782,55614,582,89.3411188838141,85.5466265826444,53.5873272821877,0.560790888593398,103782,Oslo,2022-11-14
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21795,21021,14134,206,90.4619599053667,87.2494085419002,58.6643423400988,0.855020130328311,24093,Oslo,2022-11-14
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40015,39148,31162,639,93.4558703318775,91.430973678679,72.7795034682486,1.49239787934699,42817,Oslo,2022-11-14
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32417,31973,28739,1226,94.4743974586891,93.1804272433189,83.7554279719057,3.57298982892781,34313,Oslo,2022-11-14
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24737,24514,23029,16018,95,95,89.2562303786675,62.0828650052324,25801,Oslo,2022-11-14
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10017,9933,9381,7819,95,95,91.3882123721383,76.1714564052606,10265,Oslo,2022-11-14
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5926,5878,5478,4543,95,95,90.5304908279623,75.0784994215832,6051,Oslo,2022-11-14
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7932,7809,6788,5212,95,95,89.7171556965372,68.8871266190854,7566,Oslo,2022-11-14
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9360,961,,,65.3494379669064,6.70948823570481,,,14323,Oslo,2022-11-14
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5437,4174,,,81.9565872776606,62.918299668375,,,6634,Oslo,2022-11-14
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26744,24511,9648,36,94.0134284810349,86.1637431012058,33.9157028860688,0.126551130171899,28447,Oslo,2022-11-14
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90350,86116,50469,318,86.5056872582437,82.4518402205967,48.3215886025047,0.304469380720769,104444,Oslo,2022-11-14
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22422,21657,14754,171,85.2515113493783,82.3428766967036,56.0967263602145,0.650165392950838,26301,Oslo,2022-11-14
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41409,40463,32227,585,89.3398058252427,87.2988133764833,69.529665587918,1.2621359223301,46350,Oslo,2022-11-14
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32743,32267,28617,1139,92.6068388155104,91.2605707497808,80.9372967163504,3.22142715728144,35357,Oslo,2022-11-14
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22833,22639,21109,14696,95,94.6881927307708,88.2889288552428,61.46639340834,23909,Oslo,2022-11-14
total,county,county03,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,8746,8687,8212,7208,95,95,92.6130596594113,81.2901770610127,8867,Oslo,2022-11-14
total,county,county03,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4431,4394,4109,3608,95,95,92.7958446251129,81.4814814814815,4428,Oslo,2022-11-14
total,county,county03,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3881,3828,3293,2731,95,95,90.7662624035281,75.2756339581037,3628,Oslo,2022-11-14
total,county,county11,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9445,901,,,73.6337413268886,7.02424573165978,,,12827,Rogaland,2022-11-14
total,county,county11,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5363,5194,,,90.3622577927548,87.5147430497051,,,5935,Rogaland,2022-11-14
total,county,county11,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,18192,17480,9776,50,90.4174950298211,86.8787276341948,48.5884691848907,0.248508946322068,20120,Rogaland,2022-11-14
total,county,county11,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,42810,41262,24279,320,87.7254098360656,84.5532786885246,49.7520491803279,0.655737704918033,48800,Rogaland,2022-11-14
total,county,county11,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,14746,14367,10544,260,90.7222837455396,88.390550018457,64.8701858004184,1.59960625076904,16254,Rogaland,2022-11-14
total,county,county11,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,29557,29149,24744,750,93.0899814179081,91.8049825202356,77.9314037353154,2.36213032660389,31751,Rogaland,2022-11-14
total,county,county11,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,25907,25708,24224,1585,95,94.4279155188246,88.9770431588613,5.821854912764,27225,Rogaland,2022-11-14
total,county,county11,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,20816,20679,20107,13924,95,95,93.8965162977491,65.0228822265807,21414,Rogaland,2022-11-14
total,county,county11,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,7927,7879,7524,6128,95,95,93.7570093457944,76.3613707165109,8025,Rogaland,2022-11-14
total,county,county11,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5066,5019,4669,3794,95,95,92.018131651557,74.773354355538,5074,Rogaland,2022-11-14
total,county,county11,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,6102,5999,5242,3629,95,95,91.4036617262424,63.2781168265039,5735,Rogaland,2022-11-14
total,county,county11,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9497,784,,,70.9525588345163,5.85730295106463,,,13385,Rogaland,2022-11-14
total,county,county11,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5525,5146,,,88.4566122318284,82.3887287864233,,,6246,Rogaland,2022-11-14
total,county,county11,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,18850,17774,7429,40,87.2927665092155,82.3099008983977,34.4030749282208,0.185236639807354,21594,Rogaland,2022-11-14
total,county,county11,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,43350,41413,22141,197,84.058870295321,80.3028834034632,42.9330437649066,0.381997634329371,51571,Rogaland,2022-11-14
total,county,county11,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,14989,14551,9833,141,84.8802310436605,82.399909394643,55.6826547369613,0.798459708930291,17659,Rogaland,2022-11-14
total,county,county11,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,30638,30127,24717,600,89.8422379919066,88.3437921529529,72.4796199636385,1.75942759955428,34102,Rogaland,2022-11-14
total,county,county11,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,26727,26465,24768,1476,93.559001645255,92.6418594882207,86.7014387230021,5.16680085413239,28567,Rogaland,2022-11-14
total,county,county11,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,20984,20851,20362,14017,95,95,94.6101663414181,65.1287055106403,21522,Rogaland,2022-11-14
total,county,county11,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,7374,7331,7035,5891,95,95,95,79.6188674145155,7399,Rogaland,2022-11-14
total,county,county11,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4114,4084,3844,3362,95,95,94.7264662395269,82.8486939379005,4058,Rogaland,2022-11-14
total,county,county11,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3554,3501,3083,2424,95,95,93.7652068126521,73.7226277372263,3288,Rogaland,2022-11-14
