granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9044,941,,,65.5932695097186,6.82477516681172,,,13788,Oslo,2022-08-17
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5702,4571,,,87.2265565243996,69.925042068227,,,6537,Oslo,2022-08-17
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,30354,28562,13682,19,95,91.2786424211435,43.7250327570228,0.0607203349205842,31291,Oslo,2022-08-17
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93177,89159,55186,190,89.7814649939296,85.9098880345339,53.1749243606791,0.183076063286504,103782,Oslo,2022-08-17
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21882,21101,14113,77,90.8230606400199,87.5814551944548,58.5771800938032,0.319594903083883,24093,Oslo,2022-08-17
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40064,39186,31038,246,93.5703108578368,91.5197234743209,72.4898988719434,0.574538150734521,42817,Oslo,2022-08-17
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32491,32044,28659,409,94.6900591612508,93.3873459038848,83.5222801853525,1.19196805875324,34313,Oslo,2022-08-17
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24778,24548,22771,775,95,95,88.2562691368552,3.00375954420371,25801,Oslo,2022-08-17
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10020,9937,9311,3403,95,95,90.7062834875792,33.1514856307842,10265,Oslo,2022-08-17
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5937,5889,5452,2891,95,95,90.1008097835069,47.7772269046439,6051,Oslo,2022-08-17
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7935,7809,6735,3350,95,95,89.0166534496431,44.2770288131113,7566,Oslo,2022-08-17
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9325,930,,,65.1050757522866,6.49305313132724,,,14323,Oslo,2022-08-17
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5442,4163,,,82.0319565872777,62.7524871872174,,,6634,Oslo,2022-08-17
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26023,23802,9364,14,91.4788905684255,83.6713888986536,32.9173550813794,0.0492143284001828,28447,Oslo,2022-08-17
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90528,86229,50141,139,86.6761135153767,82.5600321703497,48.0075447129562,0.13308567270499,104444,Oslo,2022-08-17
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22542,21764,14752,82,85.7077677654842,82.7497053343979,56.0891220866127,0.311775217672332,26301,Oslo,2022-08-17
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41547,40573,32147,220,89.6375404530745,87.5361380798274,69.3570658036678,0.474649406688242,46350,Oslo,2022-08-17
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32860,32365,28554,331,92.9377492434313,91.5377435868428,80.7591141782391,0.936165398648075,35357,Oslo,2022-08-17
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22870,22681,20894,612,95,94.8638587979422,87.3896858923418,2.55970555021122,23909,Oslo,2022-08-17
total,county,county03,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,8752,8692,8137,3016,95,95,91.7672267959851,34.0137588812451,8867,Oslo,2022-08-17
total,county,county03,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4442,4402,4089,2307,95,95,92.3441734417344,52.10027100271,4428,Oslo,2022-08-17
total,county,county03,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3876,3824,3262,1771,95,95,89.9117971334068,48.8147739801544,3628,Oslo,2022-08-17
total,county,county11,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9425,878,,,73.4778202229672,6.84493646215015,,,12827,Rogaland,2022-08-17
total,county,county11,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5365,5180,,,90.3959561920809,87.2788542544229,,,5935,Rogaland,2022-08-17
total,county,county11,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,18519,17794,9893,18,92.0427435387674,88.4393638170974,49.1699801192843,0.0894632206759443,20120,Rogaland,2022-08-17
total,county,county11,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,42849,41294,24127,108,87.8053278688525,84.6188524590164,49.4405737704918,0.221311475409836,48800,Rogaland,2022-08-17
total,county,county11,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,14751,14375,10458,118,90.7530454042082,88.4397686723268,64.3410852713178,0.725975144579796,16254,Rogaland,2022-08-17
total,county,county11,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,29581,29177,24642,319,93.1655695883594,91.8931687190955,77.6101540108973,1.00469276558219,31751,Rogaland,2022-08-17
total,county,county11,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,25913,25718,24122,462,95,94.4646464646465,88.6023875114784,1.6969696969697,27225,Rogaland,2022-08-17
total,county,county11,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,20808,20671,19883,2776,95,95,92.8504716540581,12.963481834314,21414,Rogaland,2022-08-17
total,county,county11,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,7923,7875,7425,3078,95,95,92.5233644859813,38.3551401869159,8025,Rogaland,2022-08-17
total,county,county11,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5065,5012,4626,2167,95,95,91.1706740244383,42.7079227433977,5074,Rogaland,2022-08-17
total,county,county11,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,6098,5995,5188,2143,95,95,90.462074978204,37.3670444638187,5735,Rogaland,2022-08-17
total,county,county11,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9481,766,,,70.8330220395966,5.72282405677998,,,13385,Rogaland,2022-08-17
total,county,county11,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5523,5136,,,88.4245917387128,82.2286263208454,,,6246,Rogaland,2022-08-17
total,county,county11,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,19029,17930,7445,12,88.1217004723535,83.0323237936464,34.4771695841437,0.0555709919422062,21594,Rogaland,2022-08-17
total,county,county11,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,43337,41374,21959,86,84.0336623296039,80.2272595063117,42.5801322448663,0.166760388590487,51571,Rogaland,2022-08-17
total,county,county11,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,14993,14547,9758,57,84.9028823829209,82.3772580553825,55.2579421258282,0.322781584461181,17659,Rogaland,2022-08-17
