granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9051,954,,,65.6440382941688,6.91906005221932,,,13788,Oslo,2022-09-15
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5715,4581,,,87.4254245066544,70.0780174391923,,,6537,Oslo,2022-09-15
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,30984,29191,14033,23,95,93.2888050877249,44.8467610495031,0.0735035633249177,31291,Oslo,2022-09-15
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93060,89060,55387,204,89.6687286812742,85.8144957699794,53.3685995644717,0.196565878476036,103782,Oslo,2022-09-15
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21839,21065,14101,86,90.6445855642718,87.4320342008052,58.52737309592,0.356950151496285,24093,Oslo,2022-09-15
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40049,39179,31064,272,93.5352780437677,91.5033748277553,72.55062241633,0.635261695121097,42817,Oslo,2022-09-15
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32468,32021,28668,449,94.6230291726168,93.3203159152508,83.5485093113397,1.30854195202984,34313,Oslo,2022-09-15
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24762,24536,22831,5150,95,95,88.488818262858,19.9604666485795,25801,Oslo,2022-09-15
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10024,9942,9347,6131,95,95,91.0569897710667,59.7272284461763,10265,Oslo,2022-09-15
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5932,5884,5471,3706,95,95,90.4148074698397,61.2460750289209,6051,Oslo,2022-09-15
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7934,7811,6762,4215,95,95,89.3735130848533,55.7097541633624,7566,Oslo,2022-09-15
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9334,936,,,65.1679117503316,6.53494379669064,,,14323,Oslo,2022-09-15
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5443,4171,,,82.0470304492011,62.8730780826048,,,6634,Oslo,2022-09-15
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26432,24186,9484,13,92.9166520195451,85.0212676204872,33.3391921819524,0.0456990192287412,28447,Oslo,2022-09-15
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90514,86229,50268,155,86.6627092030179,82.5600321703497,48.129140975068,0.148404886829306,104444,Oslo,2022-09-15
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22484,21714,14724,84,85.487243831033,82.5595984943538,55.982662256188,0.319379491274096,26301,Oslo,2022-09-15
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41497,40532,32159,238,89.529665587918,87.4476806903991,69.3829557713053,0.513484358144552,46350,Oslo,2022-09-15
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32809,32321,28551,375,92.7935062363888,91.4132986395905,80.7506292954719,1.06061034590039,35357,Oslo,2022-09-15
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22852,22662,20922,4119,95,94.7843908151742,87.5067966037894,17.2278221590196,23909,Oslo,2022-09-15
total,county,county03,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,8752,8693,8163,5637,95,95,92.0604488553062,63.5727980151122,8867,Oslo,2022-09-15
total,county,county03,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4438,4400,4103,2989,95,95,92.6603432700994,67.5022583559169,4428,Oslo,2022-09-15
total,county,county03,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3879,3826,3277,2238,95,95,90.3252480705623,61.6868798235943,3628,Oslo,2022-09-15
total,county,county11,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9431,890,,,73.5245965541436,6.938489124503,,,12827,Rogaland,2022-09-15
total,county,county11,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5362,5187,,,90.3454085930918,87.396798652064,,,5935,Rogaland,2022-09-15
total,county,county11,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,18311,17586,9795,24,91.0089463220676,87.4055666003976,48.6829025844931,0.119284294234592,20120,Rogaland,2022-09-15
total,county,county11,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,42841,41291,24202,134,87.7889344262295,84.6127049180328,49.594262295082,0.274590163934426,48800,Rogaland,2022-09-15
total,county,county11,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,14754,14372,10510,142,90.7715023994094,88.4213116771256,64.6610065214717,0.873631106189246,16254,Rogaland,2022-09-15
total,county,county11,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,29564,29162,24700,386,93.1120279676231,91.8459261125634,77.7928254228213,1.21570974142547,31751,Rogaland,2022-09-15
total,county,county11,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,25907,25712,24171,723,95,94.4426078971533,88.7823691460055,2.65564738292011,27225,Rogaland,2022-09-15
total,county,county11,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,20814,20677,20027,10156,95,95,93.5229289250023,47.4269169702064,21414,Rogaland,2022-09-15
total,county,county11,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,7924,7875,7495,5296,95,95,93.3956386292835,65.993769470405,8025,Rogaland,2022-09-15
total,county,county11,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5066,5015,4656,3303,95,95,91.7619235317304,65.0965707528577,5074,Rogaland,2022-09-15
total,county,county11,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,6100,5995,5215,3126,95,95,90.9328683522232,54.5074106364429,5735,Rogaland,2022-09-15
total,county,county11,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9489,772,,,70.8927904370564,5.76765035487486,,,13385,Rogaland,2022-09-15
total,county,county11,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5524,5140,,,88.4406019852706,82.2926673070765,,,6246,Rogaland,2022-09-15
total,county,county11,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,18924,17839,7427,19,87.6354542928591,82.6109104380847,34.3938130962304,0.0879874039084931,21594,Rogaland,2022-09-15
total,county,county11,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,43357,41398,22058,104,84.0724438153226,80.2737972891742,42.772100599174,0.201663725737333,51571,Rogaland,2022-09-15
total,county,county11,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,15003,14554,9804,68,84.959510731072,82.4168978990883,55.5184325273232,0.385072767427374,17659,Rogaland,2022-09-15
total,county,county11,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,30642,30129,24676,283,89.853967509237,88.3496569116181,72.3593924110023,0.829863351123101,34102,Rogaland,2022-09-15
total,county,county11,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,26731,26474,24708,622,93.5730038155914,92.6733643714776,86.491406167956,2.17733748731053,28567,Rogaland,2022-09-15
total,county,county11,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,20991,20856,20264,10019,95,95,94.1548183254345,46.5523650218381,21522,Rogaland,2022-09-15
