granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9054,966,,,65.6657963446475,7.00609225413403,,,13788,Oslo,2022-10-27
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5720,4585,,,87.5019121921371,70.1392075875784,,,6537,Oslo,2022-10-27
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,31320,29525,14247,37,95,94.3562046594868,45.5306637691349,0.118244862740085,31291,Oslo,2022-10-27
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,92798,88842,55530,425,89.4162764255844,85.6044400763138,53.5063883910505,0.409512246825076,103782,Oslo,2022-10-27
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21796,21025,14115,170,90.4661104885236,87.2660108745279,58.5854812601171,0.705599136678703,24093,Oslo,2022-10-27
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40027,39155,31131,499,93.4838965831329,91.4473223252447,72.7071023191723,1.16542494803466,42817,Oslo,2022-10-27
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32431,31987,28721,971,94.5151983213359,93.2212281059657,83.7029697199312,2.82983125928948,34313,Oslo,2022-10-27
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24746,24523,22984,14511,95,95,89.0818185341654,56.2420061237937,25801,Oslo,2022-10-27
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10019,9935,9377,7519,95,95,91.3492450073064,73.2489040428641,10265,Oslo,2022-10-27
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5929,5881,5478,4428,95,95,90.5304908279623,73.1779871095687,6051,Oslo,2022-10-27
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7932,7809,6784,5084,95,95,89.664287602432,67.1953476077188,7566,Oslo,2022-10-27
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9349,954,,,65.2726384137401,6.66061579278084,,,14323,Oslo,2022-10-27
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5443,4176,,,82.0470304492011,62.9484473922219,,,6634,Oslo,2022-10-27
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26673,24438,9607,34,93.7638415298625,85.9071255316905,33.7715752100397,0.119520511829015,28447,Oslo,2022-10-27
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90396,86143,50432,264,86.5497299988511,82.4776913944315,48.2861629198422,0.252767033051205,104444,Oslo,2022-10-27
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22430,21664,14734,141,85.2819284437854,82.3694916543097,56.0206836241968,0.536101288924376,26301,Oslo,2022-10-27
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41430,40480,32203,467,89.3851132686084,87.3354908306365,69.4778856526429,1.00755124056095,46350,Oslo,2022-10-27
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32752,32277,28605,892,92.632293463812,91.2888536923382,80.9033571852816,2.52283847611505,35357,Oslo,2022-10-27
