granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,81736,32249,11.7266610235147,4.62676288718957,697010,Oslo,2021-03-31
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,51127,20032,10.5930860156015,4.15046255529426,482645,Rogaland,2021-03-31
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,33552,13578,12.6351941674449,5.11327689573103,265544,Møre og Romsdal,2021-03-31
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,32686,15011,13.5996172169173,6.24560527574944,240345,Nordland,2021-03-31
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,152834,60807,12.2034455885735,4.8552999718936,1252384,Viken,2021-03-31
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,52112,23813,14.0614080296166,6.4254741596803,370603,Innlandet,2021-03-31
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,55216,25105,13.0880198728554,5.95071607700732,421882,Vestfold og Telemark,2021-03-31
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,35550,14228,11.5107028490204,4.60687145248557,308843,Agder,2021-03-31
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,71624,32538,11.2119044301925,5.09344558178269,638821,Vestland,2021-03-31
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,55324,25789,11.742980616568,5.47393043020521,471124,Trøndelag,2021-03-31
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,28575,11987,11.7996597403455,4.94986951207426,242168,Troms og Finnmark,2021-03-31
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,81204,32000,11.6503350023673,4.5910388660134,697010,Oslo,2021-03-31
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1702,673,11.5101102319605,4.55129505646852,14787,Eigersund,2021-03-31
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,15858,5947,11.0012695373473,4.12564951056907,144147,Stavanger,2021-03-31
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3935,1655,10.5430967499933,4.43426305495271,37323,Haugesund,2021-03-31
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,8229,2921,10.2287134866377,3.6308266003729,80450,Sandnes,2021-03-31
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,499,187,15.320847405588,5.74147988946884,3257,Sokndal,2021-03-31
