granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8596,430,,63.6646422752185,3.18471337579618,,13502,Oslo,2022-02-17
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5454,4125,,85.7547169811321,64.8584905660378,,6360,Oslo,2022-02-17
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,28983,26785,11773,92.6981385530608,85.6681379133883,37.6543209876543,31266,Oslo,2022-02-17
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93595,88800,49534,90.3208685162847,85.6936067551267,47.8012062726176,103625,Oslo,2022-02-17
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,22000,21075,13033,91.8848932882262,88.0215511840622,54.4334461011569,23943,Oslo,2022-02-17
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40098,38992,29500,94.2639522309464,91.6639240208755,69.3497578635573,42538,Oslo,2022-02-17
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32585,32051,27689,95,94.4120419465064,81.562978673265,33948,Oslo,2022-02-17
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24836,24552,22348,95,94.4380336948996,85.9604584968075,25998,Oslo,2022-02-17
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,15999,15850,14524,95,95,94.7732463295269,15325,Oslo,2022-02-17
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7926,7782,6553,95,95,84.7626439011771,7731,Oslo,2022-02-17
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8865,378,,63.6899202528917,2.7157123356563,,13919,Oslo,2022-02-17
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5237,3763,,79.6259692869089,57.2145355025088,,6577,Oslo,2022-02-17
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,24987,22409,8047,88.8268752221827,79.6622822609314,28.6064699608958,28130,Oslo,2022-02-17
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90708,85652,45575,86.8867219678538,82.0437173125922,43.6550508630434,104398,Oslo,2022-02-17
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22731,21807,13727,85.8421450151058,82.3527190332326,51.8391238670695,26480,Oslo,2022-02-17
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41644,40434,30506,90.3027148928788,87.6788966952902,66.1505768063145,46116,Oslo,2022-02-17
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32937,32329,27402,95,93.2504542963454,79.0389108425395,34669,Oslo,2022-02-17
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22955,22719,20362,94.9573922395963,93.9811367585009,84.230991974849,24174,Oslo,2022-02-17
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,13208,13095,11997,95,95,95,12237,Oslo,2022-02-17
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3872,3809,3178,95,95,87.7415792379901,3622,Oslo,2022-02-17
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9284,522,,74.1889084225667,4.17132811251398,,12514,Rogaland,2022-02-17
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5318,4952,,89.3781512605042,83.2268907563025,,5950,Rogaland,2022-02-17
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18552,17696,9199,91.887072808321,87.6473501733532,45.5621594848935,20190,Rogaland,2022-02-17
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42695,40921,21957,87.15933449015,83.5378176992957,44.8239256915382,48985,Rogaland,2022-02-17
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14730,14327,9875,92.6356832903591,90.1012514936168,62.1030123891579,15901,Rogaland,2022-02-17
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29578,29107,23790,93.1150637494097,91.6322997009287,74.8937509837872,31765,Rogaland,2022-02-17
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,25944,25710,23659,95,95,88.5673642046944,26713,Rogaland,2022-02-17
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,20785,20632,19604,95,95,93.2458143074581,21024,Rogaland,2022-02-17
