granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8557,378,,63.375796178344,2.79958524663013,,13502,Oslo,2022-02-04
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5419,4071,,85.2044025157233,64.0094339622642,,6360,Oslo,2022-02-04
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,28905,26623,11203,92.4486662828632,85.1500031983625,35.8312543977484,31266,Oslo,2022-02-04
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93533,88556,46408,90.2610373944512,85.4581423401689,44.7845597104946,103625,Oslo,2022-02-04
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21984,21030,12563,91.8180679112893,87.8336048114271,52.4704506536357,23943,Oslo,2022-02-04
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40133,38964,29027,94.3462316046829,91.5981005218863,68.2378108984908,42538,Oslo,2022-02-04
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32645,32078,27441,95,94.4915753505361,80.8324496288441,33948,Oslo,2022-02-04
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24850,24552,22250,95,94.4380336948996,85.583506423571,25998,Oslo,2022-02-04
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,15999,15835,14457,95,95,94.3360522022838,15325,Oslo,2022-02-04
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7925,7775,6510,95,95,84.2064415987583,7731,Oslo,2022-02-04
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8819,316,,63.3594367411452,2.27027803721532,,13919,Oslo,2022-02-04
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5200,3718,,79.0634027672191,56.5303329785617,,6577,Oslo,2022-02-04
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,24843,22181,7524,88.3149662282261,78.8517596871667,26.7472449342339,28130,Oslo,2022-02-04
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90777,85513,42668,86.9528151880304,81.9105729994828,40.8705147608192,104398,Oslo,2022-02-04
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22750,21781,13248,85.9138972809668,82.2545317220544,50.0302114803625,26480,Oslo,2022-02-04
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41721,40442,29920,90.4696851418163,87.6962442536213,64.8798681585567,46116,Oslo,2022-02-04
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32987,32346,27110,95,93.2994894574404,78.1966598402031,34669,Oslo,2022-02-04
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22966,22714,20268,95,93.9604533796641,83.8421444527178,24174,Oslo,2022-02-04
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,13206,13091,11947,95,95,95,12237,Oslo,2022-02-04
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3874,3805,3165,95,95,87.3826615129763,3622,Oslo,2022-02-04
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9242,437,,73.8532843215599,3.49208886047627,,12514,Rogaland,2022-02-04
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5310,4893,,89.2436974789916,82.2352941176471,,5950,Rogaland,2022-02-04
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18567,17672,8702,91.9613670133729,87.5284794452699,43.1005448241704,20190,Rogaland,2022-02-04
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42645,40747,20302,87.0572624272737,83.1826069204859,41.4453404103297,48985,Rogaland,2022-02-04
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14731,14299,9480,92.6419722030061,89.9251619395007,59.6188918935916,15901,Rogaland,2022-02-04
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29594,29101,23119,93.1654336533921,91.6134109869353,72.7813631355265,31765,Rogaland,2022-02-04
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,25947,25695,23323,95,95,87.3095496574702,26713,Rogaland,2022-02-04
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,20784,20625,19535,95,95,92.9176179604262,21024,Rogaland,2022-02-04
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,12974,12850,11785,95,95,94.7194984729143,12442,Rogaland,2022-02-04
total,county,county11,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,6090,5970,5006,95,95,87.6247155610012,5713,Rogaland,2022-02-04
total,county,county11,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9270,371,,71.1271388015039,2.84662011816159,,13033,Rogaland,2022-02-04
total,county,county11,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5478,4881,,88.2409793814433,78.6243556701031,,6208,Rogaland,2022-02-04
total,county,county11,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,19007,17681,6151,86.9209310833676,80.8569991311108,28.1291443727992,21867,Rogaland,2022-02-04
total,county,county11,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,43217,40931,17744,83.9670481260565,79.5255396452234,34.4751209465892,51469,Rogaland,2022-02-04
total,county,county11,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,14992,14463,8611,85.0513416917229,82.0502637998525,48.8511941907301,17627,Rogaland,2022-02-04
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,30684,30080,22727,90.4039362423028,88.6243775964173,66.9603134851654,33941,Rogaland,2022-02-04
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,26792,26462,23681,95,94.0938022259361,84.2050990292643,28123,Rogaland,2022-02-04
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,20991,20826,19728,95,95,92.9995757318625,21213,Rogaland,2022-02-04
total,county,county11,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,11465,11366,10521,95,95,95,10655,Rogaland,2022-02-04
total,county,county11,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3556,3496,2966,95,95,93.7124802527646,3165,Rogaland,2022-02-04
total,county,county15,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,5251,558,,81.8040193176507,8.69294282598536,,6419,Møre og Romsdal,2022-02-04
total,county,county15,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,3014,2995,,93.7772246421904,93.1860609831985,,3214,Møre og Romsdal,2022-02-04
total,county,county15,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,10154,9848,5056,93.3014793714968,90.4897546632362,46.4577781861619,10883,Møre og Romsdal,2022-02-04
total,county,county15,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,20701,20009,10759,89.3169952970617,86.3312766967252,46.4210208396255,23177,Møre og Romsdal,2022-02-04
total,county,county15,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,7218,7082,4953,92.5740669488265,90.8298063357702,63.5244324740285,7797,Møre og Romsdal,2022-02-04
total,county,county15,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,16100,15885,13215,93.6482084690554,92.3976268031643,76.86714751047,17192,Møre og Romsdal,2022-02-04
total,county,county15,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,15353,15222,13965,95,94.6641791044776,86.8470149253731,16080,Møre og Romsdal,2022-02-04
total,county,county15,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,14579,14494,14085,95,95,95,14739,Møre og Romsdal,2022-02-04
total,county,county15,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,9247,9157,8492,95,95,95,8797,Møre og Romsdal,2022-02-04
total,county,county15,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,4817,4712,3988,95,95,86.9034648071475,4589,Møre og Romsdal,2022-02-04
total,county,county15,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,5509,550,,82.9293993677555,8.27939184103568,,6643,Møre og Romsdal,2022-02-04
total,county,county15,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,3046,2947,,87.7051540454938,84.854592571264,,3473,Møre og Romsdal,2022-02-04
total,county,county15,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,10894,10388,3927,90.1448076127431,85.9577989242863,32.4948282995449,12085,Møre og Romsdal,2022-02-04
