granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9048,958,,,65.6222802436902,6.94807078619089,,,13788,Oslo,2022-09-28
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5710,4579,,,87.3489368211718,70.0474223649992,,,6537,Oslo,2022-09-28
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,31066,29269,14093,28,95,93.5380780416094,45.0385094755681,0.0894825988303346,31291,Oslo,2022-09-28
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93029,89039,55445,252,89.6388583762117,85.7942610471951,53.4244859416855,0.242816673411574,103782,Oslo,2022-09-28
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21833,21060,14115,103,90.6196820653302,87.4112812850206,58.5854812601171,0.427510065164156,24093,Oslo,2022-09-28
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40031,39159,31077,322,93.4932386668847,91.4566644089964,72.5809841885233,0.752037742018357,42817,Oslo,2022-09-28
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32463,32016,28688,564,94.6084574359572,93.3057441785912,83.606796257978,1.64369189520007,34313,Oslo,2022-09-28
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24769,24542,22893,8929,95,95,88.7291190263943,34.6071857679935,25801,Oslo,2022-09-28
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10023,9940,9358,6573,95,95,91.1641500243546,64.0331222601072,10265,Oslo,2022-09-28
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5931,5885,5479,3906,95,95,90.5470170219798,64.5513138324244,6051,Oslo,2022-09-28
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7933,7810,6771,4431,95,95,89.49246629659,58.5646312450436,7566,Oslo,2022-09-28
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9341,943,,,65.2167841932556,6.58381623961461,,,14323,Oslo,2022-09-28
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5440,4172,,,82.0018088634308,62.8881519445282,,,6634,Oslo,2022-09-28
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26495,24249,9523,16,93.1381164973459,85.242732098288,33.4762892396386,0.0562449467430661,28447,Oslo,2022-09-28
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90522,86245,50331,176,86.6703688100801,82.575351384474,48.1894603806825,0.16851135536747,104444,Oslo,2022-09-28
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22473,21706,14731,98,85.4454203262234,82.5291813999468,56.0092772137942,0.372609406486445,26301,Oslo,2022-09-28
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41481,40523,32179,281,89.495145631068,87.428263214671,69.4261057173679,0.606256742179072,46350,Oslo,2022-09-28
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32799,32316,28568,489,92.7652232938315,91.3991571683118,80.7987102978194,1.38303589105411,35357,Oslo,2022-09-28
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22858,22665,20974,7743,95,94.7969383914007,87.7242879250492,32.3852942406625,23909,Oslo,2022-09-28
