granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9051,953,,,65.6440382941688,6.91180736872643,,,13788,Oslo,2022-09-14
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5713,4580,,,87.3948294324614,70.0627199020958,,,6537,Oslo,2022-09-14
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,30939,29147,14018,23,95,93.1481895752773,44.7988239429868,0.0735035633249177,31291,Oslo,2022-09-14
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93086,89082,55375,203,89.6937811951976,85.8356940509915,53.3570368657378,0.195602320248213,103782,Oslo,2022-09-14
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21844,21070,14108,86,90.6653384800565,87.4527871165899,58.5564271780185,0.356950151496285,24093,Oslo,2022-09-14
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40053,39184,31065,270,93.5446201275194,91.5150524324451,72.5529579372679,0.630590653245206,42817,Oslo,2022-09-14
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32472,32025,28667,447,94.6346865619445,93.3319733045784,83.5455949640078,1.30271325736601,34313,Oslo,2022-09-14
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24762,24535,22827,5022,95,95,88.4733149877912,19.4643618464401,25801,Oslo,2022-09-14
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10023,9942,9346,6104,95,95,91.0472479298588,59.4641987335607,10265,Oslo,2022-09-14
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5932,5884,5471,3694,95,95,90.4148074698397,61.0477607007106,6051,Oslo,2022-09-14
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7934,7811,6762,4203,95,95,89.3735130848533,55.5511498810468,7566,Oslo,2022-09-14
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9337,937,,,65.1888570830134,6.54192557425121,,,14323,Oslo,2022-09-14
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5443,4170,,,82.0470304492011,62.8580042206813,,,6634,Oslo,2022-09-14
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26396,24153,9473,13,92.7901008893732,84.9052624178296,33.3005237810665,0.0456990192287412,28447,Oslo,2022-09-14
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90511,86223,50253,153,86.6598368503696,82.5542874650531,48.1147792118264,0.146489985063766,104444,Oslo,2022-09-14
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22491,21721,14725,83,85.5138587886392,82.58621345196,55.9864643929889,0.315577354473214,26301,Oslo,2022-09-14
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41505,40539,32162,236,89.5469255663431,87.462783171521,69.3894282632147,0.509169363538296,46350,Oslo,2022-09-14
