granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9047,959,,,65.6150275601973,6.95532346968378,,,13788,Oslo,2022-10-03
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5709,4579,,,87.3336392840753,70.0474223649992,,,6537,Oslo,2022-10-03
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,31109,29311,14109,30,95,93.6723019398549,45.0896423891854,0.0958742130325014,31291,Oslo,2022-10-03
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,92974,88984,55456,276,89.5858626736814,85.7412653446648,53.4350850821915,0.265942070879343,103782,Oslo,2022-10-03
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21826,21052,14119,115,90.5906279832316,87.3780766197651,58.6020835927448,0.477317063047358,24093,Oslo,2022-10-03
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40022,39149,31076,352,93.4722189784431,91.433309199617,72.5786486675853,0.822103370156714,42817,Oslo,2022-10-03
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32455,32007,28687,624,94.5851426573019,93.279515052604,83.6038819106461,1.81855273511497,34313,Oslo,2022-10-03
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24762,24539,22909,10357,95,95,88.7911321266618,40.1418549668618,25801,Oslo,2022-10-03
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10021,9938,9366,6785,95,95,91.2420847540185,66.0983925962007,10265,Oslo,2022-10-03
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5930,5884,5478,4005,95,95,90.5304908279623,66.1874070401587,6051,Oslo,2022-10-03
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7930,7808,6769,4552,95,95,89.4660322495374,60.1638910917261,7566,Oslo,2022-10-03
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9338,947,,,65.1958388605739,6.61174334985687,,,14323,Oslo,2022-10-03
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5443,4173,,,82.0470304492011,62.9032258064516,,,6634,Oslo,2022-10-03
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26517,24272,9533,18,93.2154532991177,85.3235842092312,33.511442331353,0.0632755650859493,28447,Oslo,2022-10-03
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90503,86231,50345,182,86.6521772433074,82.5619470721152,48.2028646930413,0.174256060664088,104444,Oslo,2022-10-03
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22460,21695,14732,108,85.3959925478119,82.4873578951371,56.013079350595,0.410630774495266,26301,Oslo,2022-10-03
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41463,40505,32171,305,89.4563106796116,87.3894282632147,69.4088457389428,0.658036677454153,46350,Oslo,2022-10-03
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32787,32304,28577,554,92.7312837627627,91.365217637243,80.824164946121,1.56687501767684,35357,Oslo,2022-10-03
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22848,22658,20983,9091,95,94.7676607135388,87.7619306537287,38.0233384917813,23909,Oslo,2022-10-03
total,county,county03,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,8750,8692,8177,6302,95,95,92.2183376564791,71.0725160708244,8867,Oslo,2022-10-03
total,county,county03,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4434,4396,4105,3229,95,95,92.7055103884372,72.9223125564589,4428,Oslo,2022-10-03
total,county,county03,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3880,3827,3284,2423,95,95,90.5181918412348,66.7861080485116,3628,Oslo,2022-10-03
total,county,county11,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9439,894,,,73.5869649957122,6.96967334528728,,,12827,Rogaland,2022-10-03
total,county,county11,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5366,5190,,,90.4128053917439,87.4473462510531,,,5935,Rogaland,2022-10-03
total,county,county11,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,18251,17528,9778,28,90.7107355864811,87.117296222664,48.5984095427435,0.139165009940358,20120,Rogaland,2022-10-03
total,county,county11,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,42824,41274,24229,185,87.7540983606558,84.577868852459,49.6495901639344,0.379098360655738,48800,Rogaland,2022-10-03
total,county,county11,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,14750,14369,10525,185,90.7468930724745,88.4028546819245,64.7532914974775,1.13818137073951,16254,Rogaland,2022-10-03
total,county,county11,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,29568,29163,24720,486,93.1246259960316,91.8490756196655,77.8558155648641,1.53066045163932,31751,Rogaland,2022-10-03
total,county,county11,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,25905,25711,24186,989,95,94.4389348025712,88.8374655647383,3.63269054178145,27225,Rogaland,2022-10-03
total,county,county11,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,20811,20674,20065,12356,95,95,93.7003829270571,57.7005697207435,21414,Rogaland,2022-10-03
total,county,county11,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,7926,7878,7512,5736,95,95,93.607476635514,71.4766355140187,8025,Rogaland,2022-10-03
total,county,county11,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5066,5016,4660,3561,95,95,91.8407567993694,70.1813165155696,5074,Rogaland,2022-10-03
total,county,county11,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,6100,5996,5228,3374,95,95,91.1595466434176,58.8317349607672,5735,Rogaland,2022-10-03
total,county,county11,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9491,779,,,70.9077325364214,5.81994770265222,,,13385,Rogaland,2022-10-03
total,county,county11,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5521,5141,,,88.3925712455972,82.3086775536343,,,6246,Rogaland,2022-10-03
total,county,county11,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,18901,17815,7428,22,87.5289432249699,82.4997684542002,34.3984440122256,0.101880151894045,21594,Rogaland,2022-10-03
total,county,county11,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,43345,41393,22087,123,84.0491749238913,80.2641019177445,42.8283337534661,0.238506137170115,51571,Rogaland,2022-10-03
total,county,county11,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,14991,14546,9824,90,84.8915567132907,82.3715952205674,55.6316892236254,0.50965513335976,17659,Rogaland,2022-10-03
total,county,county11,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,30642,30129,24694,365,89.853967509237,88.3496569116181,72.4121752389889,1.07031845639552,34102,Rogaland,2022-10-03
total,county,county11,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,26731,26472,24730,861,93.5730038155914,92.6663632863094,86.5684181048063,3.01396716491056,28567,Rogaland,2022-10-03
total,county,county11,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,20986,20853,20311,12220,95,95,94.3731995167735,56.7791097481647,21522,Rogaland,2022-10-03
total,county,county11,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,7374,7331,7025,5499,95,95,94.9452628733613,74.3208541694824,7399,Rogaland,2022-10-03
total,county,county11,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4114,4082,3837,3183,95,95,94.5539674716609,78.437654016757,4058,Rogaland,2022-10-03
total,county,county11,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3555,3501,3074,2258,95,95,93.4914841849148,68.6739659367397,3288,Rogaland,2022-10-03
total,county,county15,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,5372,841,,,82.7734976887519,12.9583975346687,,,6490,Møre og Romsdal,2022-10-03
total,county,county15,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,3031,3174,,,93.4916718075262,95,,,3242,Møre og Romsdal,2022-10-03
total,county,county15,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,9910,9678,5793,22,91.1935216711144,89.0586178338088,53.3081807306524,0.202447777675531,10867,Møre og Romsdal,2022-10-03
total,county,county15,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,20871,20300,13028,156,90.2490703104731,87.7799878924155,56.3348611951916,0.674565424197873,23126,Møre og Romsdal,2022-10-03
total,county,county15,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,7233,7124,5489,84,91.9760935910478,90.5900305188199,69.7990844354018,1.06815869786368,7864,Møre og Romsdal,2022-10-03
total,county,county15,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,16114,15935,13932,337,94.3166520339479,93.2689493707931,81.5452151009658,1.97249048873281,17085,Møre og Romsdal,2022-10-03
total,county,county15,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,15346,15241,14448,642,95,95,90.4639659382631,4.01978586187465,15971,Møre og Romsdal,2022-10-03
total,county,county15,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,14581,14508,14323,7270,95,95,95,48.6222578919208,14952,Møre og Romsdal,2022-10-03
total,county,county15,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,5627,5600,5324,3685,95,95,93.4691011235955,64.6945224719101,5696,Møre og Romsdal,2022-10-03
total,county,county15,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,3621,3582,3362,2352,95,95,93.3629547347959,65.3151902249375,3601,Møre og Romsdal,2022-10-03
