granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9041,943,,,65.5715114592399,6.83928053379751,,,13788,Oslo,2022-08-30
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5708,4575,,,87.3183417469787,69.9862322166131,,,6537,Oslo,2022-08-30
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,30707,28909,13868,22,95,92.3875874852194,44.3194528778243,0.0703077562238343,31291,Oslo,2022-08-30
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93175,89165,55303,195,89.7795378774739,85.9156693839009,53.2876606733345,0.187893854425623,103782,Oslo,2022-08-30
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21868,21091,14112,81,90.7649524758228,87.5399493628855,58.5730295106463,0.336197235711617,24093,Oslo,2022-08-30
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40055,39181,31044,254,93.5492911693953,91.5080458696312,72.5039119975711,0.593222318238083,42817,Oslo,2022-08-30
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32486,32037,28665,433,94.6754874245913,93.3669454725614,83.539766269344,1.2619123947192,34313,Oslo,2022-08-30
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24767,24540,22792,2227,95,95,88.3376613309562,8.63144839347312,25801,Oslo,2022-08-30
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10017,9936,9327,5136,95,95,90.862152946907,50.034096444228,10265,Oslo,2022-08-30
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5936,5887,5465,3358,95,95,90.3156503057346,55.4949595108247,6051,Oslo,2022-08-30
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7934,7810,6750,3863,95,95,89.2149088025377,51.0573618821042,7566,Oslo,2022-08-30
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9329,935,,,65.1330028625288,6.52796201913007,,,14323,Oslo,2022-08-30
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5444,4167,,,82.0621043111245,62.8127826349111,,,6634,Oslo,2022-08-30
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26218,23981,9407,13,92.1643758568566,84.3006292403417,33.0685133757514,0.0456990192287412,28447,Oslo,2022-08-30
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90552,86267,50248,142,86.6990923365631,82.5964153038949,48.1099919574126,0.135958025353299,104444,Oslo,2022-08-30
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22518,21743,14730,81,85.616516482263,82.6698604615794,56.0054750769933,0.30797308087145,26301,Oslo,2022-08-30
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41523,40548,32152,228,89.5857605177994,87.4822006472492,69.3678532901834,0.491909385113269,46350,Oslo,2022-08-30
