granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8665,200,,64.1756776773811,1.48126203525404,,13502,Oslo,2021-12-03
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5629,3208,,88.5062893081761,50.4402515723271,,6360,Oslo,2021-12-03
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,30005,26065,403,95.9668649651379,83.3653169577177,1.2889400626879,31266,Oslo,2021-12-03
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,91375,83826,2682,88.1785283474065,80.8936067551267,2.58817852834741,103625,Oslo,2021-12-03
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21845,20131,829,91.2375224491501,84.0788539447855,3.46238984254271,23943,Oslo,2021-12-03
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,39734,37366,1750,93.4082467440876,87.8414594010062,4.11396868682119,42538,Oslo,2021-12-03
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32251,31113,2145,95.0011782726523,91.6489925768823,6.31848709791446,33948,Oslo,2021-12-03
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24709,24286,14984,95.0419263020232,93.4148780675437,57.6352027079006,25998,Oslo,2021-12-03
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,14833,14859,12792,96.78955954323,96.9592169657423,83.4714518760196,15325,Oslo,2021-12-03
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7055,6977,5573,91.2559824084853,90.2470573017721,72.0864053809339,7731,Oslo,2021-12-03
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8898,184,,63.927006250449,1.32193404698613,,13919,Oslo,2021-12-03
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5502,3092,,83.6551619279307,47.0123156454311,,6577,Oslo,2021-12-03
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,25007,21267,108,88.8979736935656,75.6025595449698,0.383931745467472,28130,Oslo,2021-12-03
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,89626,81818,1376,85.8503036456637,78.3712331653863,1.3180329125079,104398,Oslo,2021-12-03
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22676,20824,494,85.6344410876133,78.6404833836858,1.86555891238671,26480,Oslo,2021-12-03
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41334,38835,1075,89.6304970075462,84.2115534738486,2.33107815075028,46116,Oslo,2021-12-03
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32351,30919,1326,93.3139115636448,89.1834203467074,3.82474256540425,34669,Oslo,2021-12-03
