granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8863,718,,64.2805337975051,5.20742674789672,,13788,Oslo,2022-06-03
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5626,4393,,86.0639437050635,67.2020804650451,,6537,Oslo,2022-06-03
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,29485,27603,12835,94.2283723754434,88.2138634112045,41.0181841424052,31291,Oslo,2022-06-03
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93675,89494,53951,90.2613169913858,86.2326800408549,51.9849299493168,103782,Oslo,2022-06-03
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21947,21130,13843,91.0928485452206,87.7018221060059,57.4565226414311,24093,Oslo,2022-06-03
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40078,39161,30698,93.6030081509681,91.4613354508723,71.695821753042,42817,Oslo,2022-06-03
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32552,32089,28505,94.8678343484977,93.518491533821,83.0734706962376,34313,Oslo,2022-06-03
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24803,24568,22684,95,95,87.919072904151,25801,Oslo,2022-06-03
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,15972,15836,14672,95,95,89.9240009806325,16316,Oslo,2022-06-03
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7932,7804,6627,95,95,87.5892149088025,7566,Oslo,2022-06-03
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9135,688,,63.7785380157788,4.80346296167004,,14323,Oslo,2022-06-03
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5371,4007,,80.9617123907145,60.4009647271631,,6634,Oslo,2022-06-03
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,25426,23071,8853,89.3802509930749,81.1016978943298,31.1210320947727,28447,Oslo,2022-06-03
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90834,86374,49235,86.9690934855042,82.6988625483513,47.1400942131669,104444,Oslo,2022-06-03
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22680,21875,14558,86.2324626440059,83.1717425192958,55.3515075472416,26301,Oslo,2022-06-03
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41611,40599,31808,89.7756202804746,87.5922330097087,68.6256742179072,46350,Oslo,2022-06-03
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32919,32403,28379,93.1046186045196,91.6452187685607,80.2641626834856,35357,Oslo,2022-06-03
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22913,22711,20817,95,94.9893345602075,87.067631435861,23909,Oslo,2022-06-03
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,13197,13099,12156,95,95,91.432869499812,13295,Oslo,2022-06-03
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3876,3821,3217,95,95,88.6714443219405,3628,Oslo,2022-06-03
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9378,719,,73.1114056287519,5.6053636859749,,12827,Rogaland,2022-06-03
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5353,5096,,90.1937657961247,85.8635214827296,,5935,Rogaland,2022-06-03
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18571,17812,9700,92.3011928429423,88.5288270377734,48.2107355864811,20120,Rogaland,2022-06-03
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42814,41224,23740,87.7336065573771,84.4754098360656,48.6475409836066,48800,Rogaland,2022-06-03
