granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8601,432,,63.7016738260998,3.19952599614872,,13502,Oslo,2022-02-18
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5459,4129,,85.8333333333333,64.9213836477988,,6360,Oslo,2022-02-18
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,28988,26801,11799,92.714130365253,85.7193117124032,37.7374784110535,31266,Oslo,2022-02-18
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93616,88830,49727,90.3411338962606,85.7225572979493,47.9874547647768,103625,Oslo,2022-02-18
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,22005,21083,13067,91.905776218519,88.0549638725306,54.5754500271478,23943,Oslo,2022-02-18
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40100,39000,29550,94.2686539094457,91.6827307348724,69.4672998260379,42538,Oslo,2022-02-18
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32586,32055,27723,95,94.4238246730293,81.6631318487098,33948,Oslo,2022-02-18
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24838,24555,22357,95,94.4495730440803,85.9950765443496,25998,Oslo,2022-02-18
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,15999,15851,14529,95,95,94.8058727569331,15325,Oslo,2022-02-18
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7926,7784,6557,95,95,84.8143836502393,7731,Oslo,2022-02-18
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8871,382,,63.7330267979022,2.74445003232991,,13919,Oslo,2022-02-18
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5238,3771,,79.6411737874411,57.336171506766,,6577,Oslo,2022-02-18
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,24991,22417,8074,88.8410949164593,79.6907216494846,28.7024528972627,28130,Oslo,2022-02-18
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90715,85682,45757,86.8934270771471,82.0724534952777,43.8293837046687,104398,Oslo,2022-02-18
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22733,21809,13764,85.8496978851964,82.3602719033233,51.9788519637462,26480,Oslo,2022-02-18
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41646,40443,30552,90.3070517824616,87.6984126984127,66.2503252667187,46116,Oslo,2022-02-18
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32938,32332,27426,95,93.2591075600681,79.1081369523205,34669,Oslo,2022-02-18
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22956,22722,20375,94.9615289153636,93.9935467858029,84.2847687598246,24174,Oslo,2022-02-18
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,13208,13095,12005,95,95,95,12237,Oslo,2022-02-18
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3872,3810,3181,95,95,87.8244064053009,3622,Oslo,2022-02-18
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9288,529,,74.2208726226626,4.2272654626818,,12514,Rogaland,2022-02-18
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5318,4955,,89.3781512605042,83.2773109243698,,5950,Rogaland,2022-02-18
