granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9049,961,,,65.6295329271831,6.96982883666957,,,13788,Oslo,2022-10-17
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5710,4578,,,87.3489368211718,70.0321248279027,,,6537,Oslo,2022-10-17
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,31232,29435,14186,34,95,94.0685820203892,45.3357195359688,0.108657441436835,31291,Oslo,2022-10-17
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,92896,88929,55485,353,89.5107051319111,85.6882696421345,53.4630282707984,0.340136054421769,103782,Oslo,2022-10-17
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21802,21029,14112,144,90.4910139874652,87.2826132071556,58.5730295106463,0.597683974598431,24093,Oslo,2022-10-17
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40024,39158,31119,411,93.476890020319,91.4543288880585,72.679076067917,0.959899105495481,42817,Oslo,2022-10-17
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32444,31998,28707,816,94.5530848366508,93.2532859266168,83.6621688572844,2.37810742284265,34313,Oslo,2022-10-17
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24757,24535,22960,13072,95,95,88.9887988837642,50.6647029184915,25801,Oslo,2022-10-17
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10018,9936,9371,7209,95,95,91.2907939600585,70.2289332683877,10265,Oslo,2022-10-17
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5931,5883,5478,4269,95,95,90.5304908279623,70.5503222607833,6051,Oslo,2022-10-17
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7930,7807,6777,4896,95,95,89.5717684377478,64.710547184774,7566,Oslo,2022-10-17
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9344,949,,,65.2377295259373,6.62570690497801,,,14323,Oslo,2022-10-17
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5443,4174,,,82.0470304492011,62.918299668375,,,6634,Oslo,2022-10-17
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26620,24376,9576,26,93.5775301437761,85.6891763630611,33.662600625725,0.0913980384574823,28447,Oslo,2022-10-17
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90469,86207,50409,228,86.6196239132933,82.5389682509287,48.2641415495385,0.218298801271495,104444,Oslo,2022-10-17
