granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8997,264,,66.6345726559028,1.95526588653533,,13502,Oslo,2022-01-06
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,6041,4239,,94.9842767295597,66.6509433962264,,6360,Oslo,2022-01-06
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,30344,26818,3105,97.0511098317662,85.7736838738566,9.93091537132988,31266,Oslo,2022-01-06
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,92037,85668,12444,88.8173703256936,82.6711700844391,12.0086851628468,103625,Oslo,2022-01-06
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21939,20569,4583,91.6301215386543,85.9081986384329,19.1412939063609,23943,Oslo,2022-01-06
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,39886,38340,17901,93.7655743100287,90.1311768301284,42.0823734073064,42538,Oslo,2022-01-06
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32323,31812,22264,95.2132673500648,93.7080240367621,65.5826558265583,33948,Oslo,2022-01-06
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24751,24447,21542,95.2034771905531,94.0341564735749,82.8602200169244,25998,Oslo,2022-01-06
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,14869,14927,14035,97.0244698205546,97.4029363784665,91.5823817292007,15325,Oslo,2022-01-06
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7080,6996,6184,91.5793558401242,90.4928211098176,79.9896520501876,7731,Oslo,2022-01-06
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9243,251,,66.405632588548,1.80329046626913,,13919,Oslo,2022-01-06
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5898,4039,,89.6761441386651,61.4109776493842,,6577,Oslo,2022-01-06
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,25405,21860,1345,90.3128332740846,77.7106292214717,4.78137220049769,28130,Oslo,2022-01-06
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90201,83290,7556,86.401080480469,79.7812218624878,7.23768654571927,104398,Oslo,2022-01-06
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22753,21248,3881,85.9252265861027,80.2416918429003,14.6563444108761,26480,Oslo,2022-01-06
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41534,39902,17687,90.0641859658253,86.5252840662677,38.3532830254142,46116,Oslo,2022-01-06
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32443,31780,21647,93.5792783178055,91.6669070351034,62.4390666012865,34669,Oslo,2022-01-06
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22798,22561,19678,94.3079341441218,93.327541987259,81.4015057499793,24174,Oslo,2022-01-06
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,12020,12155,11649,98.2266895480919,99.3299011195555,95.1949007109586,12237,Oslo,2022-01-06
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3329,3293,3021,91.9105466593042,90.9166206515737,83.4069574820541,3622,Oslo,2022-01-06
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9673,333,,77.2974268818923,2.66101965798306,,12514,Rogaland,2022-01-06
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5706,5182,,95.8991596638655,87.0924369747899,,5950,Rogaland,2022-01-06
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18452,17378,2991,91.3917781079743,86.0723130262506,14.81426448737,20190,Rogaland,2022-01-06
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42302,39864,7699,86.3570480759416,81.3800142900888,15.7170562417066,48985,Rogaland,2022-01-06
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14694,14160,4079,92.409282435067,89.0510030815672,25.6524746871266,15901,Rogaland,2022-01-06
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29587,28848,12459,93.1433968203998,90.8169368802141,39.2224146072722,31765,Rogaland,2022-01-06
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,25842,25659,15689,96.7394152659754,96.0543555572193,58.7317036648823,26713,Rogaland,2022-01-06
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,20421,20319,18333,97.1318493150685,96.6466894977169,87.2003424657534,21024,Rogaland,2022-01-06
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,12333,12373,11413,99.1239350586723,99.4454267802604,91.7296254621444,12442,Rogaland,2022-01-06
total,county,county11,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,5372,5324,4753,94.0311570103273,93.1909679677928,83.1962191493086,5713,Rogaland,2022-01-06
total,county,county11,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9684,301,,74.303690631474,2.3095219826594,,13033,Rogaland,2022-01-06
total,county,county11,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5807,5123,,93.5405927835052,82.5225515463918,,6208,Rogaland,2022-01-06
total,county,county11,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,18842,17308,1097,86.1663694151004,79.1512324507248,5.01669181872228,21867,Rogaland,2022-01-06
total,county,county11,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,42801,40102,3643,83.1587946142338,77.9148613728652,7.07804697973538,51469,Rogaland,2022-01-06
total,county,county11,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,15069,14348,2098,85.4881715550009,81.3978555624894,11.9021954955466,17627,Rogaland,2022-01-06
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,30629,29771,9784,90.2418903391179,87.7139742494328,28.8264930320262,33941,Rogaland,2022-01-06
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,26734,26473,14657,95.0609821142837,94.1329161184795,52.1174839099669,28123,Rogaland,2022-01-06
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,20655,20564,18667,97.3695375477302,96.940555319851,87.9979258002169,21213,Rogaland,2022-01-06
total,county,county11,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,10629,10710,10215,99.7559831065228,100.516189582356,95.8704833411544,10655,Rogaland,2022-01-06
total,county,county11,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3053,3035,2818,96.4612954186414,95.8925750394945,89.0363349131122,3165,Rogaland,2022-01-06
total,county,county15,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,5437,186,,84.7016669263125,2.89764760866179,,6419,Møre og Romsdal,2022-01-06
total,county,county15,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,3267,3077,,101.64903546982,95.7373988799004,,3214,Møre og Romsdal,2022-01-06
total,county,county15,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,10034,9625,1665,92.1988422310025,88.4406873104843,15.2990903243591,10883,Møre og Romsdal,2022-01-06
total,county,county15,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,20591,19644,4031,88.8423868490314,84.7564395737153,17.3922423091858,23177,Møre og Romsdal,2022-01-06
total,county,county15,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,7193,7009,2074,92.2534308067205,89.8935488008208,26.5999743491086,7797,Møre og Romsdal,2022-01-06
total,county,county15,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,16223,15905,6918,94.3636575151233,92.5139599813867,40.2396463471382,17192,Møre og Romsdal,2022-01-06
total,county,county15,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,15533,15352,9014,96.5982587064677,95.4726368159204,56.0572139303483,16080,Møre og Romsdal,2022-01-06
total,county,county15,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,14408,14348,13341,97.7542574123075,97.3471741637832,90.5149603093833,14739,Møre og Romsdal,2022-01-06
total,county,county15,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,8760,8789,8317,99.5794020688871,99.9090599067864,94.5435944071843,8797,Møre og Romsdal,2022-01-06
total,county,county15,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,4298,4220,3834,93.6587491828285,91.9590324689475,83.5476138592286,4589,Møre og Romsdal,2022-01-06
total,county,county15,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,5696,192,,85.7443925937077,2.890260424507,,6643,Møre og Romsdal,2022-01-06
total,county,county15,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,3286,3002,,94.6156061042327,86.438237834725,,3473,Møre og Romsdal,2022-01-06
total,county,county15,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,10767,10142,735,89.0939180802648,83.9222176251552,6.08191973520894,12085,Møre og Romsdal,2022-01-06
total,county,county15,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,21604,20569,2066,84.5127723663107,80.4639518053437,8.08199350623949,25563,Møre og Romsdal,2022-01-06
total,county,county15,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,7128,6881,1128,84.907683144729,81.9654556283502,13.4365693865396,8395,Møre og Romsdal,2022-01-06
total,county,county15,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,16758,16281,5347,89.7253306205493,87.1713872677625,28.6287947743214,18677,Møre og Romsdal,2022-01-06
total,county,county15,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,16259,16092,8359,95.3327469950161,94.3535620052771,49.0120199355028,17055,Møre og Romsdal,2022-01-06
total,county,county15,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,14713,14631,13603,97.3403903407212,96.7978828977837,89.996692027787,15115,Møre og Romsdal,2022-01-06
total,county,county15,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,7934,8003,7751,100.762001524003,101.638303276607,98.4378968757938,7874,Møre og Romsdal,2022-01-06
total,county,county15,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,2416,2401,2246,94.8194662480377,94.2307692307692,88.1475667189953,2548,Møre og Romsdal,2022-01-06
total,county,county18,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,4511,99,,84.1447491139713,1.84667039731393,,5361,Nordland,2022-01-06
