granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,359214,204392,51.5364198505043,29.3241129969441,697010,Oslo,2021-06-30
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,202695,128208,41.9967056532234,26.563623367071,482645,Rogaland,2021-06-30
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,114477,74678,43.1103696562528,28.122646341096,265544,Møre og Romsdal,2021-06-30
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,103293,70016,42.9769706047557,29.1314568640912,240345,Nordland,2021-06-30
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,649211,367369,51.8380145386719,29.333575005749,1252384,Viken,2021-06-30
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,168489,113617,45.4634743917346,30.6573341284339,370603,Innlandet,2021-06-30
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,203196,126663,48.1641786091846,30.0233240574379,421882,Vestfold og Telemark,2021-06-30
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,135887,87553,43.9987307466901,28.3487079195578,308843,Agder,2021-06-30
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,292062,176674,45.7189103050776,27.6562605174219,638821,Vestland,2021-06-30
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,206966,129374,43.9302603985363,27.4607109805487,471124,Trøndelag,2021-06-30
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,102562,67177,42.3515906312973,27.7398335040138,242168,Troms og Finnmark,2021-06-30
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,359208,204387,51.5355590307169,29.3233956471213,697010,Oslo,2021-06-30
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5805,3970,39.2574558734023,26.8479069452898,14787,Eigersund,2021-06-30
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,64028,39032,44.418544957578,27.0779135188384,144147,Stavanger,2021-06-30
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,15275,9832,40.9265064437478,26.3430056533505,37323,Haugesund,2021-06-30
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,33994,20794,42.2548166563083,25.847110006215,80450,Sandnes,2021-06-30
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1495,1034,45.9011360147375,31.7470064476512,3257,Sokndal,2021-06-30
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1338,930,42.1550094517958,29.3005671077505,3174,Lund,2021-06-30
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1212,785,43.4252955929774,28.126119670369,2791,Bjerkreim,2021-06-30
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7666,5096,40.0941422594142,26.652719665272,19120,Hå,2021-06-30
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7235,4814,36.4520354695687,24.2543329302701,19848,Klepp,2021-06-30
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7049,4972,36.8941693708783,26.0232387731603,19106,Time,2021-06-30
total,municip,municip1122,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4722,2749,39.1412466843501,22.7868037135279,12064,Gjesdal,2021-06-30
total,municip,municip1124,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,10122,6590,36.8649160505518,24.0011654587173,27457,Sola,2021-06-30
total,municip,municip1127,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4629,2719,40.9102960671675,24.0300486080424,11315,Randaberg,2021-06-30
total,municip,municip1130,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5161,3289,39.4873756694721,25.1644988523336,13070,Strand,2021-06-30
total,municip,municip1133,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1108,759,42.9457364341085,29.4186046511628,2580,Hjelmeland,2021-06-30
total,municip,municip1134,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1728,1100,45.3662378577054,28.878970858493,3809,Suldal,2021-06-30
total,municip,municip1135,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1892,1226,41.4821311115983,26.8800701600526,4561,Sauda,2021-06-30
total,municip,municip1144,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,273,180,53.8461538461539,35.5029585798817,507,Kvitsøy,2021-06-30
total,municip,municip1145,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,377,267,43.8882421420256,31.0826542491269,859,Bokn,2021-06-30
total,municip,municip1146,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4669,3090,41.7695473251029,27.6435856146001,11178,Tysvær,2021-06-30
