granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8499,286,,62.9462301881203,2.11820471041327,,13502,Oslo,2022-01-27
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5383,4008,,84.6383647798742,63.0188679245283,,6360,Oslo,2022-01-27
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,28839,26471,10340,92.2375743619267,84.6638521077209,33.071067613382,31266,Oslo,2022-01-27
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,93439,88259,41749,90.1703256936068,85.1715319662244,40.2885404101327,103625,Oslo,2022-01-27
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21969,20978,11828,91.755419120411,87.6164223363823,49.4006599005973,23943,Oslo,2022-01-27
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,40128,38891,28296,94.3344774084348,91.4264892566646,66.5193474070243,42538,Oslo,2022-01-27
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32647,32052,27097,95,94.4149876281372,79.8191351478732,33948,Oslo,2022-01-27
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24849,24542,22147,95,94.3995691976306,85.1873221017001,25998,Oslo,2022-01-27
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,15991,15820,14392,95,95,93.9119086460033,15325,Oslo,2022-01-27
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7924,7767,6476,95,95,83.7666537317294,7731,Oslo,2022-01-27
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8759,239,,62.928371291041,1.71707737624829,,13919,Oslo,2022-01-27
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5168,3653,,78.5768587501901,55.5420404439714,,6577,Oslo,2022-01-27
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,24772,21994,6676,88.0625666548169,78.1869889797369,23.7326697476004,28130,Oslo,2022-01-27
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,90671,85203,37991,86.851280675875,81.613632445066,36.390543880151,104398,Oslo,2022-01-27
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22735,21714,12437,85.857250755287,82.0015105740181,46.9675226586103,26480,Oslo,2022-01-27
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41710,40353,29076,90.4458322491109,87.5032526671871,63.0497007546188,46116,Oslo,2022-01-27
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32978,32298,26751,95,93.1610372378782,77.1611526147279,34669,Oslo,2022-01-27
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22970,22711,20147,95,93.9480433523621,83.341606684868,24174,Oslo,2022-01-27
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,13203,13083,11907,95,95,95,12237,Oslo,2022-01-27
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3872,3805,3155,95,95,87.1065709552733,3622,Oslo,2022-01-27
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9177,303,,73.3338660700016,2.42128815726386,,12514,Rogaland,2022-01-27
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5290,4791,,88.9075630252101,80.5210084033614,,5950,Rogaland,2022-01-27
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18539,17583,7576,91.8226844972759,87.0876671619614,37.5235264982665,20190,Rogaland,2022-01-27
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,42563,40561,17146,86.8898642441564,82.8028988465857,35.0025518015719,48985,Rogaland,2022-01-27
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14722,14270,8584,92.5853719891831,89.7427834727376,53.9840261618766,15901,Rogaland,2022-01-27
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29572,29054,21841,93.0961750354163,91.4654493939871,68.7580670549347,31765,Rogaland,2022-01-27
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,25934,25665,22686,95,95,84.9249429116909,26713,Rogaland,2022-01-27
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,20783,20618,19411,95,95,92.3278158295282,21024,Rogaland,2022-01-27
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,12971,12839,11734,95,95,94.3095965278894,12442,Rogaland,2022-01-27
total,county,county11,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,6087,5964,4977,95,95,87.1171013478033,5713,Rogaland,2022-01-27
total,county,county11,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,9201,252,,70.5977134965089,1.93355328780787,,13033,Rogaland,2022-01-27
total,county,county11,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5459,4775,,87.9349226804124,76.916881443299,,6208,Rogaland,2022-01-27
total,county,county11,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,18960,17574,4943,86.705995335437,80.3676773219921,22.604838340879,21867,Rogaland,2022-01-27
total,county,county11,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,43141,40762,13952,83.8193864267812,79.1971866560454,27.1075793195904,51469,Rogaland,2022-01-27
total,county,county11,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,14976,14423,7447,84.9605718500028,81.8233391955523,42.2476882055937,17627,Rogaland,2022-01-27
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,30674,30019,21119,90.3744733508147,88.4446539583395,62.2226805338676,33941,Rogaland,2022-01-27
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,26783,26432,22883,95,93.9871279735448,81.3675639156562,28123,Rogaland,2022-01-27
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,20987,20814,19619,95,95,92.4857398764908,21213,Rogaland,2022-01-27
total,county,county11,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,11463,11356,10483,95,95,95,10655,Rogaland,2022-01-27
total,county,county11,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3556,3495,2954,95,95,93.3333333333333,3165,Rogaland,2022-01-27
total,county,county15,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,5147,375,,80.1838292568936,5.84203146907618,,6419,Møre og Romsdal,2022-01-27
total,county,county15,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,3004,2888,,93.4660858743,89.8568761667704,,3214,Møre og Romsdal,2022-01-27
total,county,county15,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,10144,9816,4071,93.2095929431223,90.1957180924378,37.4069649912708,10883,Møre og Romsdal,2022-01-27
total,county,county15,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,20658,19933,8886,89.1314665401044,86.0033654053588,38.3397333563447,23177,Møre og Romsdal,2022-01-27
total,county,county15,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,7212,7068,4344,92.4971142747211,90.6502500961908,55.7137360523278,7797,Møre og Romsdal,2022-01-27
