granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9046,948,,,65.6077748767044,6.87554395126197,,,13788,Oslo,2022-09-07
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5711,4578,,,87.3642343582683,70.0321248279027,,,6537,Oslo,2022-09-07
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,30821,29026,13939,23,95,92.7614969160462,44.5463551820012,0.0735035633249177,31291,Oslo,2022-09-07
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93088,89076,55310,199,89.6957083116533,85.8299127016246,53.2944055809293,0.191748087336918,103782,Oslo,2022-09-07
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21856,21080,14108,85,90.7151454779397,87.4942929481592,58.5564271780185,0.352799568339352,24093,Oslo,2022-09-07
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40054,39182,31056,265,93.5469556484574,91.5103813905692,72.5319382488264,0.61891304855548,42817,Oslo,2022-09-07
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32482,32035,28671,442,94.6638300352636,93.3611167778976,83.5572523533355,1.28814152070644,34313,Oslo,2022-09-07
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24765,24541,22823,4148,95,95,88.4578117127243,16.0768962443316,25801,Oslo,2022-09-07
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10021,9940,9337,5897,95,95,90.9595713589868,57.4476376035071,10265,Oslo,2022-09-07
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5932,5884,5469,3589,95,95,90.3817550818047,59.3125103288713,6051,Oslo,2022-09-07
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7935,7812,6758,4100,95,95,89.3206449907481,54.1897964578377,7566,Oslo,2022-09-07
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9333,936,,,65.1609299727711,6.53494379669064,,,14323,Oslo,2022-09-07
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5439,4167,,,81.9867350015074,62.8127826349111,,,6634,Oslo,2022-09-07
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,26283,24035,9424,13,92.3928709530003,84.4904559355996,33.1282736316659,0.0456990192287412,28447,Oslo,2022-09-07
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90548,86256,50257,146,86.6952625330321,82.5858833441845,48.1186090153575,0.139787828884378,104444,Oslo,2022-09-07
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22505,21735,14729,81,85.5670887038516,82.6394433671724,56.0016729401924,0.30797308087145,26301,Oslo,2022-09-07
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41518,40546,32167,232,89.5749730312837,87.4778856526429,69.4002157497303,0.500539374325782,46350,Oslo,2022-09-07
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32823,32334,28550,367,92.8331023559691,91.450066464915,80.7478010012162,1.03798399185451,35357,Oslo,2022-09-07
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22867,22677,20925,3258,95,94.8471286963068,87.5193441800159,13.6266677820068,23909,Oslo,2022-09-07
total,county,county03,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,8752,8692,8160,5418,95,95,92.0266155407691,61.1029660539078,8867,Oslo,2022-09-07
total,county,county03,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4438,4398,4098,2920,95,95,92.5474254742547,65.9439927732611,4428,Oslo,2022-09-07
total,county,county03,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3877,3825,3273,2160,95,95,90.2149944873208,59.5369349503859,3628,Oslo,2022-09-07
total,county,county11,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9429,888,,,73.5090044437515,6.92289701411086,,,12827,Rogaland,2022-09-07
total,county,county11,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5363,5186,,,90.3622577927548,87.379949452401,,,5935,Rogaland,2022-09-07
